personalService,control,financialRisk,partAndParcel,businessOnOwnAccount,finalDecision,result
MEDIUM,MEDIUM,LOW,HIGH,LOW,INIR35
MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,INIR35
MEDIUM,MEDIUM,LOW,HIGH,HIGH,UNKNOWN
MEDIUM,MEDIUM,LOW,MEDIUM,LOW,INIR35
MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,UNKNOWN
MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,UNKNOWN
MEDIUM,MEDIUM,LOW,LOW,LOW,INIR35
MEDIUM,MEDIUM,LOW,LOW,MEDIUM,UNKNOWN
MEDIUM,MEDIUM,LOW,LOW,HIGH,UNKNOWN
MEDIUM,HIGH,LOW,LOW,LOW,INIR35
MEDIUM,HIGH,LOW,LOW,MEDIUM,INIR35
MEDIUM,HIGH,LOW,LOW,HIGH,UNKNOWN
MEDIUM,HIGH,LOW,MEDIUM,LOW,INIR35
MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,INIR35
MEDIUM,HIGH,LOW,MEDIUM,HIGH,UNKNOWN
MEDIUM,HIGH,LOW,HIGH,LOW,INIR35
MEDIUM,HIGH,LOW,HIGH,MEDIUM,INIR35
MEDIUM,HIGH,LOW,HIGH,HIGH,UNKNOWN
HIGH,MEDIUM,LOW,LOW,LOW,INIR35
HIGH,MEDIUM,LOW,LOW,MEDIUM,UNKNOWN
HIGH,MEDIUM,LOW,LOW,HIGH,UNKNOWN
HIGH,MEDIUM,LOW,MEDIUM,LOW,INIR35
HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,INIR35
HIGH,MEDIUM,LOW,MEDIUM,HIGH,UNKNOWN
HIGH,MEDIUM,LOW,HIGH,LOW,INIR35
HIGH,MEDIUM,LOW,HIGH,MEDIUM,INIR35
HIGH,MEDIUM,LOW,HIGH,HIGH,UNKNOWN
HIGH,HIGH,LOW,LOW,LOW,INIR35
HIGH,HIGH,LOW,LOW,MEDIUM,INIR35
HIGH,HIGH,LOW,LOW,HIGH,UNKNOWN
HIGH,HIGH,LOW,MEDIUM,LOW,INIR35
HIGH,HIGH,LOW,MEDIUM,MEDIUM,INIR35
HIGH,HIGH,LOW,MEDIUM,HIGH,UNKNOWN
HIGH,HIGH,LOW,HIGH,LOW,INIR35
HIGH,HIGH,LOW,HIGH,MEDIUM,INIR35
HIGH,HIGH,LOW,HIGH,HIGH,UNKNOWN
HIGH,HIGH,MEDIUM,LOW,LOW,INIR35
HIGH,HIGH,MEDIUM,LOW,MEDIUM,UNKNOWN
HIGH,HIGH,MEDIUM,LOW,HIGH,UNKNOWN
HIGH,HIGH,MEDIUM,MEDIUM,LOW,INIR35
HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,UNKNOWN
HIGH,HIGH,MEDIUM,MEDIUM,HIGH,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,LOW,LOW,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,OUTOFIR35
MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,OUTOFIR35
MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,INIR35
MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,UNKNOWN
MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,OUTOFIR35
MEDIUM,HIGH,MEDIUM,LOW,LOW,INIR35
MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,UNKNOWN
MEDIUM,HIGH,MEDIUM,LOW,HIGH,UNKNOWN
MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,INIR35
MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,INIR35
MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,UNKNOWN
MEDIUM,HIGH,MEDIUM,HIGH,LOW,INIR35
MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,INIR35
MEDIUM,HIGH,MEDIUM,HIGH,HIGH,UNKNOWN
HIGH,MEDIUM,MEDIUM,LOW,LOW,UNKNOWN
HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,UNKNOWN
HIGH,MEDIUM,MEDIUM,LOW,HIGH,OUTOFIR35
HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,INIR35
HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,UNKNOWN
HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,OUTOFIR35
HIGH,MEDIUM,MEDIUM,HIGH,LOW,INIR35
HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,UNKNOWN
HIGH,MEDIUM,MEDIUM,HIGH,HIGH,UNKNOWN
HIGH,HIGH,MEDIUM,HIGH,LOW,INIR35
HIGH,HIGH,MEDIUM,HIGH,MEDIUM,INIR35
HIGH,HIGH,MEDIUM,HIGH,HIGH,UNKNOWN
